STATE_CODE,SHRP_ID,CONSTRUCTION_NO,YEAR_VISITED,VISIT_DATE,MRI,PRECIPITATION,TEMP_MEAN_AVG,FREEZE_INDEX,FREEZE_THAW,REL_HUM_AVG_AVG,AADTT,AGE,H_AC,Eng_Fab,Treated_Base,Treated_Subbase,H_TOT,Days_since_last_MRI
1,0161,1,2002,2002-03-10,0.7403000056743623,1117.79,18.39999961853028,3.0,46.0,74,8375,12,104.2,False,True,False,401.4,361.0
1,0161,1,2003,2003-01-29,0.748199999332428,1593.82,17.5,6.0,50.0,79,9357,13,104.2,False,True,False,401.4,325.0
1,0161,1,2004,2004-04-27,0.7495000004768371,1378.56,18.100000381469727,2.0,39.0,75,10368,14,104.2,False,True,False,401.4,454.0
1,0161,1,2005,2005-05-04,0.7678999960422516,1847.56,17.799999237060547,2.0,38.0,77,11410,15,104.2,False,True,False,401.4,372.0
1,0162,1,1994,1994-08-25,0.8923000037670136,1845.33,17.200000762939453,10.0,34.0,81,1484,4,99.0,False,True,False,350.5,0.0
1,0162,1,1996,1996-01-10,0.7155999958515167,1201.48,17.200000762939453,27.0,54.0,76,3057,6,99.0,False,True,False,350.5,503.0
1,0162,1,1997,1997-07-03,0.7350999891757966,1475.31,17.399999618530273,5.0,31.0,78,3879,7,99.0,False,True,False,350.5,540.0
1,0162,1,1998,1998-01-27,0.775600004196167,1396.67,18.799999237060547,0.0,23.0,76,4726,8,99.0,False,True,False,350.5,208.0
1,0162,1,1999,1999-09-28,0.798499995470047,1145.22,18.5,6.0,35.0,71,5598,9,99.0,False,True,False,350.5,609.0
1,0162,1,2001,2001-03-14,0.8012000024318695,1167.22,17.899999618530273,3.0,33.0,74,7422,11,99.0,False,True,False,350.5,533.0
1,0162,1,2002,2002-03-10,0.7879000008106232,1117.79,18.39999961853028,3.0,46.0,74,8375,12,99.0,False,True,False,350.5,361.0
1,0162,1,2003,2003-01-29,0.8294000029563904,1593.82,17.5,6.0,50.0,79,9357,13,99.0,False,True,False,350.5,325.0
1,0162,1,2004,2004-04-27,0.8672000050544739,1378.56,18.100000381469727,2.0,39.0,75,10368,14,99.0,False,True,False,350.5,454.0
1,0162,1,2005,2005-05-04,0.8612999975681306,1847.56,17.799999237060547,2.0,38.0,77,11410,15,99.0,False,True,False,350.5,372.0
1,0163,1,1993,1993-08-11,0.8216000080108643,1280.38,17.399999618530273,4.0,40.0,75,731,3,106.7,True,True,False,523.2,0.0
1,0163,1,1996,1996-01-10,0.7800999999046325,1201.48,17.200000762939453,27.0,54.0,76,3057,6,106.7,True,True,False,523.2,882.0
1,0163,1,1997,1997-07-03,0.7821000039577484,1475.31,17.399999618530273,5.0,31.0,78,3879,7,106.7,True,True,False,523.2,540.0
1,0163,1,1998,1998-01-27,0.8237999856472016,1396.67,18.799999237060547,0.0,23.0,76,4726,8,106.7,True,True,False,523.2,208.0
1,0163,1,1999,1999-09-28,0.8428999960422516,1145.22,18.5,6.0,35.0,71,5598,9,106.7,True,True,False,523.2,609.0
1,0163,1,2001,2001-03-14,0.8541999995708466,1167.22,17.899999618530273,3.0,33.0,74,7422,11,106.7,True,True,False,523.2,533.0
