STATE_CODE,SHRP_ID,YEAR,AGE,H_AC,Eng_Fab,Treated_Base,Treated_Subbase,H_TOT,MRI_BEFORE,MRI_AFTER,MAINTENANCE,DAYS_SINCE_MAINTENANCE,Added_Thickness,AADTT
4,0509,1997,30,165.0,False,False,False,540.9,1.218400001525879,1.5010000109672543,Fog Seal Coat,197,2.5,12367
4,0509,2000,33,167.5,False,False,False,543.4,2.0199999809265137,2.541899967193604,Fog Seal Coat,84,2.5,14884
4,0509,2001,34,170.0,False,False,False,545.9,2.541899967193604,2.134500014781952,Crack Sealing,187,0.0,15561
4,0559,1990,23,132.1,False,False,False,467.4,2.0615000128746037,1.1575000166893006,"Hot-Mix Recycled Asphalt Concrete Overlay, Mill Off AC and Overlay with AC ",154,63.5,8047
4,0559,1997,30,195.6,False,False,False,530.9,1.179199993610382,1.1937000036239624,Fog Seal Coat,197,2.5,12367
4,0559,2000,33,198.1,False,False,False,533.4,1.2232999920845034,1.2544999837875366,Fog Seal Coat,84,2.5,14884
4,0559,2001,34,200.6,False,False,False,535.9,1.2544999837875366,1.249899983406067,Crack Sealing,187,0.0,15561
4,0560,1990,23,127.0,False,False,False,482.6,1.8363999724388125,0.7895999908447265,Mill Off AC and Overlay with AC ,154,33.0,8047
4,0560,1997,30,160.0,False,False,False,515.6,0.910999995470047,1.0434000074863434,Fog Seal Coat,197,2.5,12367
4,0560,2000,33,162.5,False,False,False,518.1,1.1378999829292296,1.330999994277954,Fog Seal Coat,84,2.5,14884
4,0560,2001,34,165.0,False,False,False,520.6,1.330999994277954,1.3061999917030334,Crack Sealing,187,0.0,15561
4,1002,1995,16,264.2,False,False,False,264.2,2.621399974822998,0.5878000020980835,Mill Off AC and Overlay with AC ,210,0.0,15399
4,1003,1990,16,332.7,False,False,False,485.1,0.7883000075817108,1.0964000165462493,Skin Patching (hand tools/hot pot to apply liquid asphalt and aggregate),262,0.0,19428
4,1003,2014,40,353.0,False,False,False,505.4,0.7404500037431717,0.800299996137619,Crack Sealing,283,0.0,122632
4,1006,1990,15,221.0,False,False,False,436.9,0.7586999893188477,0.9299000024795532,"Patch Pot Holes - Hand Spread, Compacted with Truck",51,0.0,20640
4,1006,2014,39,304.8,False,False,False,520.7,0.997450014948845,1.010099995136261,Crack Sealing,283,0.0,177206
4,1006,2019,44,304.8,False,False,False,520.7,1.076500004529953,1.1228000044822697,"Patch Pot Holes - Hand Spread, Compacted with Truck",234,0.0,229413
4,1007,1993,16,167.6,False,False,False,441.9,1.8077000021934508,1.2523333231608071,"Asphalt Concrete Overlay, Mill Off AC and Overlay with AC ",62,106.7,26707
4,1015,1993,15,226.1,False,False,False,482.6,1.0949000000953677,0.4725500017404556,"Asphalt Concrete Overlay, Mill Off AC and Overlay with AC ",192,83.8,3791
4,1016,1997,19,254.0,False,False,False,424.2,1.550699985027313,0.5695999979972839,Mill Off AC and Overlay with AC ,223,40.7,5833
4,1017,1997,22,226.1,False,False,False,510.6,1.3281999945640564,0.5872999966144562,Mill Off AC and Overlay with AC ,219,-5.1,7073
4,1017,2011,36,221.0,False,False,False,505.5,0.7914000034332276,0.7980000078678131,Crack Sealing,192,0.0,23102
4,1018,1997,22,215.9,False,False,False,398.8,1.0657000064849855,0.5359000027179718,"Asphalt Concrete Overlay, Mill Off AC and Overlay with AC ",15,15.3,7222
4,1018,2011,36,231.2,False,False,False,414.1,0.9321000039577484,0.9495999932289124,Crack Sealing,193,0.0,17683
4,1021,1993,16,134.60000000000002,False,False,False,348.0,1.260699987411499,1.2978999853134154,Crack Sealing,324,0.0,12285
4,1021,1995,18,134.60000000000002,False,False,False,348.0,1.2978999853134154,0.753000009059906,Mill Off AC and Overlay with AC ,51,114.3,15545
4,1022,2014,38,215.9,False,False,False,477.5,1.3738499939441682,1.3276999950408936,Mill Off AC and Overlay with AC ,57,0.0,63432
4,1024,1992,16,274.3,False,False,False,434.3,0.9311999917030336,0.964400005340576,"Patch Pot Holes - Hand Spread, Compacted with Truck",307,0.0,15104
4,1024,1997,21,274.3,False,False,False,434.3,1.0855000138282778,1.0916000008583069,"Patch Pot Holes - Hand Spread, Compacted with Truck",191,0.0,23546
4,1024,1998,22,274.3,False,False,False,434.3,1.0916000008583069,1.2014999985694883,Fog Seal Coat,155,2.5,25686
4,1024,1999,23,276.8,False,False,False,436.8,1.4483999967575074,0.4674000024795532,Mill Off AC and Overlay with AC ,347,2.6,27730
4,1025,1996,19,193.0,False,False,False,317.5,1.1062000155448914,1.1573999762535094,Fog Seal Coat,169,2.5,21287
4,1025,1999,22,195.5,False,False,False,320.0,1.265500009059906,0.5907000005245209,Mill Off AC and Overlay with AC ,288,15.3,27753
4,1025,2007,30,210.8,False,False,False,335.3,0.8904000043869018,1.339299988746643,Skin Patching (hand tools/hot pot to apply liquid asphalt and aggregate),186,0.0,50363
4,1025,2015,38,210.8,False,False,False,335.3,2.1143999814987184,3.179800009727478,"Patch Pot Holes - Hand Spread, Compacted with Truck",14,0.0,81889
4,1034,1997,23,104.0,False,False,False,385.9,1.3992499887943268,1.8142999887466429,"Patch Pot Holes - Hand Spread, Compacted with Truck",305,0.0,6926
4,1034,1999,25,104.0,False,False,False,385.9,1.6895000100135804,0.74549999833107,Asphalt Concrete Overlay,129,22.9,8025
4,1062,1992,16,147.29999999999998,False,True,True,584.2,1.33089998960495,0.8190000057220459,"Grinding Surface, Asphalt Concrete Overlay",132,5.1,11574
4,1062,1999,23,152.4,False,True,True,589.3,0.9475000023841856,0.3305000007152557,"Grinding Surface, Asphalt Concrete Overlay",196,-20.4,24076
4,1062,2011,35,132.0,False,True,True,568.9,0.9875,1.2027999877929687,Crack Sealing,188,0.0,54338
4,1062,2014,38,132.0,False,True,True,568.9,1.7742500126361849,0.4072000026702881,Mill Off AC and Overlay with AC ,57,15.3,63800
4,1065,1992,16,157.5,False,True,True,632.5,1.0755999982357023,0.9386000096797944,"Grinding Surface, Asphalt Concrete Overlay",132,10.2,10693
4,1065,1999,23,167.7,False,True,True,642.7,1.149400007724762,0.3387999981641769,"Grinding Surface, Asphalt Concrete Overlay",194,-12.7,22401
4,6055,1992,18,106.6,False,False,False,406.3,0.6745000064373017,0.6973999977111817,Sand Seal Coat,122,2.5,12455
4,6055,1998,24,109.1,False,False,False,408.8,0.7648000001907349,0.458899998664856,Mill Off AC and Overlay with AC ,192,45.8,16302
4,6060,1992,26,210.8,False,False,False,464.8,0.6694999933242798,0.7298000037670136,Crack Sealing,56,0.0,5726
