STATE_CODE,SHRP_ID,CONSTRUCTION_NO,YEAR_VISITED,VISIT_DATE,MRI,IRI_previous,MERRA_ID,PRECIPITATION,TEMP_MEAN_AVG,FREEZE_INDEX,FREEZE_THAW,REL_HUM_AVG_AVG,ANNUAL_ESAL_TREND,AADTT_ALL_TRUCKS_TREND,AGE,H_AC,Eng_Fab,Treated_Base,Treated_Subbase,H_TOT
2,1004,2,1995,1995-06-13,1.962000012397766,1.8005000352859497,168241,805.76,0.6000000238418579,1364.0,58.0,83,70000,330,18,5.3999998569488525,False,False,False,32.39999985694885
2,1004,2,1997,1997-08-20,1.977999985218048,1.962000012397766,168241,773.77,1.7999999523162842,1167.0,79.0,81,57000,238,20,5.3999998569488525,False,False,False,32.39999985694885
2,1004,3,1999,1999-06-22,2.09799998998642,1.977999985218048,168241,914.32,-0.699999988079071,1769.0,63.0,82,78672,387,22,5.3999998569488525,False,False,False,32.39999985694885
2,1004,3,2001,2001-07-10,2.3084999322891235,2.09799998998642,168241,856.38,1.2000000476837158,1185.0,77.0,83,80070,395,24,5.3999998569488525,False,False,False,32.39999985694885
2,1004,3,2003,2003-06-12,2.50600004196167,2.3084999322891235,168241,870.45,2.0999999046325684,1040.0,58.0,82,82008,403,26,5.3999998569488525,False,False,False,32.39999985694885
2,1004,3,2005,2005-05-03,2.8844999074935918,2.50600004196167,168241,889.02,2.5999999046325684,958.0,62.0,83,84176,411,28,5.3999998569488525,False,False,False,32.39999985694885
2,1008,1,1991,1991-08-29,0.9009999930858612,0.8295999884605407,172853,587.23,-4.199999809265137,3062.0,45.0,80,23579,118,13,3.0999999046325684,False,False,False,15.099999904632568
2,1008,1,1993,1993-09-02,0.996999979019165,0.9009999930858612,172853,636.75,-2.0,2441.0,63.0,80,19710,77,15,3.0999999046325684,False,False,False,15.099999904632568
2,1008,1,1995,1995-06-06,1.2919999957084656,0.996999979019165,172853,506.89,-3.299999952316284,2996.0,48.0,79,35186,143,17,3.0999999046325684,False,False,False,15.099999904632568
2,1008,1,1997,1997-08-28,1.0995000004768372,1.2919999957084656,172853,506.25,-3.5,3029.0,35.0,79,23000,125,19,3.0999999046325684,False,False,False,15.099999904632568
2,1008,1,1999,1999-06-16,1.3105000257492063,1.0995000004768372,172853,482.24,-5.599999904632568,3647.0,48.0,77,36945,190,21,3.0999999046325684,False,False,False,15.099999904632568
2,1008,2,2005,2005-05-11,1.731499969959259,1.3105000257492063,172853,597.57,-2.799999952316284,2794.0,36.0,81,45997,235,27,3.0999999046325684,False,False,False,15.099999904632568
2,6010,1,1991,1991-08-28,1.1110000014305117,1.076999992132187,168818,953.26,-0.1000000014901161,1397.0,78.0,79,53217,233,22,3.799999952316284,False,False,False,15.799999952316284
2,6010,1,1993,1993-08-24,1.0730000138282776,1.1110000014305117,168818,991.89,1.2000000476837158,1144.0,102.0,79,52991,184,24,3.799999952316284,False,False,False,15.799999952316284
2,6010,1,1995,1995-06-12,1.1504999995231628,1.0730000138282776,168818,797.6,-0.1000000014901161,1547.0,72.0,78,83092,276,26,3.799999952316284,False,False,False,15.799999952316284
2,9035,2,1991,1991-08-26,1.0254999697208405,1.503499984741211,169969,1098.33,-1.899999976158142,1971.0,50.0,79,45000,61,20,3.899999856948853,False,False,False,16.49999976158142
2,9035,2,1995,1995-06-08,1.284000039100647,1.0254999697208405,169969,944.96,-1.7000000476837158,2062.0,53.0,78,61170,85,24,3.899999856948853,False,False,False,16.49999976158142
2,9035,3,1997,1997-08-26,1.1445000171661377,1.284000039100647,169969,1026.76,-1.100000023841858,1928.0,48.0,77,63525,59,26,3.899999856948853,False,False,False,16.49999976158142
2,9035,3,1999,1999-06-18,1.350499987602234,1.1445000171661377,169969,1240.97,-3.400000095367432,2534.0,54.0,77,75212,102,28,3.899999856948853,False,False,False,16.49999976158142
2,9035,4,2001,2001-07-16,1.3385000228881836,1.350499987602234,169969,1147.35,-1.7000000476837158,1983.0,38.0,79,84428,115,30,3.899999856948853,False,False,False,16.49999976158142
2,9035,4,2003,2003-06-19,1.3705000281333923,1.3385000228881836,169969,1317.04,-0.8999999761581421,1727.0,79.0,79,95265,130,32,3.899999856948853,False,False,False,16.49999976158142
2,9035,4,2005,2005-05-09,1.7885000109672546,1.3705000281333923,169969,1217.41,-0.6000000238418579,1788.0,51.0,79,108471,146,34,3.899999856948853,False,False,False,16.49999976158142
2,9035,4,2012,2012-06-27,1.8734999895095823,1.7885000109672546,169969,1176.76,-3.0,2395.0,42.0,77,164612,223,41,3.899999856948853,False,False,False,16.49999976158142
4,0113,1,1995,1995-07-16,1.1398499846458434,1.1722000002861024,138922,170.69,18.899999618530277,0.0,27.0,36,146281,657,2,4.400000095367432,False,False,False,11.900000095367432
4,0113,1,1996,1996-06-20,1.1372999906539918,1.1398499846458434,138922,223.87,19.200000762939453,0.0,31.0,32,158961,712,3,4.400000095367432,False,False,False,11.900000095367432
4,0113,1,1997,1997-01-23,1.149399995803833,1.1372999906539918,138922,228.2,18.799999237060547,0.0,44.0,35,171440,770,4,4.400000095367432,False,False,False,11.900000095367432
4,0113,1,1998,1998-06-17,1.1833499948183697,1.149399995803833,138922,225.04,17.5,0.0,27.0,40,185913,835,5,4.400000095367432,False,False,False,11.900000095367432
4,0113,1,1999,1999-11-17,1.3218000173568725,1.1833499948183697,138922,130.0,18.799999237060547,0.0,27.0,30,194819,875,6,4.400000095367432,False,False,False,11.900000095367432
4,0113,1,2000,2000-12-19,1.356599986553192,1.3218000173568725,138922,100.56,19.299999237060547,0.0,24.0,32,211427,947,7,4.400000095367432,False,False,False,11.900000095367432
4,0113,1,2001,2001-11-23,1.6242000043392182,1.356599986553192,138922,176.46,19.399999618530277,0.0,40.0,34,223986,1006,8,4.400000095367432,False,False,False,11.900000095367432
4,0113,1,2002,2002-02-18,1.59263334274292,1.6242000043392182,138922,53.65,19.399999618530277,0.0,31.0,27,419695,1885,9,4.400000095367432,False,False,False,11.900000095367432
4,0113,2,2002,2002-11-14,1.2403000056743625,1.59263334274292,138922,53.65,19.399999618530277,0.0,31.0,27,281713,1885,9,4.900000095367432,False,False,False,12.400000095367432
4,0113,2,2003,2003-07-24,1.2630000019073486,1.2403000056743625,138922,220.67,19.700000762939453,0.0,21.0,33,44000,214,10,4.900000095367432,False,False,False,12.400000095367432
4,0113,2,2004,2004-06-06,1.2829499989748,1.2630000019073486,138922,292.28,18.799999237060547,0.0,34.0,35,53000,220,11,4.900000095367432,False,False,False,12.400000095367432
4,0113,2,2005,2005-03-15,1.3256999850273132,1.2829499989748,138922,415.41,18.700000762939453,0.0,17.0,41,53000,220,12,4.900000095367432,False,False,False,12.400000095367432
4,0113,2,2006,2006-03-27,1.414400005340576,1.3256999850273132,138922,124.92,18.899999618530277,0.0,32.0,31,22680,219,13,4.900000095367432,False,False,False,12.400000095367432
4,0114,1,1995,1995-07-16,0.6860500007867814,0.6542999982833863,138922,170.69,18.899999618530277,0.0,27.0,36,139087,657,2,6.800000190734863,False,False,False,18.800000190734863
4,0114,1,1996,1996-06-20,0.6953500002622605,0.6860500007867814,138922,223.87,19.200000762939453,0.0,31.0,32,151143,712,3,6.800000190734863,False,False,False,18.800000190734863
4,0114,1,1997,1997-01-23,0.7403999984264373,0.6953500002622605,138922,228.2,18.799999237060547,0.0,44.0,35,163009,770,4,6.800000190734863,False,False,False,18.800000190734863
4,0114,1,1998,1998-06-17,0.7495999991893768,0.7403999984264373,138922,225.04,17.5,0.0,27.0,40,176770,835,5,6.800000190734863,False,False,False,18.800000190734863
4,0114,1,1999,1999-11-17,0.8073000013828278,0.7495999991893768,138922,130.0,18.799999237060547,0.0,27.0,30,185238,875,6,6.800000190734863,False,False,False,18.800000190734863
4,0114,1,2000,2000-12-19,0.8547999858856201,0.8073000013828278,138922,100.56,19.299999237060547,0.0,24.0,32,201029,947,7,6.800000190734863,False,False,False,18.800000190734863
4,0114,1,2001,2001-11-23,0.8360000044107437,0.8547999858856201,138922,176.46,19.399999618530277,0.0,40.0,34,212970,1006,8,6.800000190734863,False,False,False,18.800000190734863
4,0114,1,2002,2002-02-18,0.8690000037352243,0.8360000044107437,138922,53.65,19.399999618530277,0.0,31.0,27,399054,1885,9,6.800000190734863,False,False,False,18.800000190734863
4,0114,2,2002,2002-11-14,0.8663500010967254,0.8690000037352243,138922,53.65,19.399999618530277,0.0,31.0,27,267858,1885,9,7.300000190734863,False,False,False,19.300000190734863
4,0114,2,2003,2003-07-24,0.9018400025367737,0.8663500010967254,138922,220.67,19.700000762939453,0.0,21.0,33,42000,214,10,7.300000190734863,False,False,False,19.300000190734863
4,0114,2,2004,2004-06-06,0.8775500014424324,0.9018400025367737,138922,292.28,18.799999237060547,0.0,34.0,35,50000,220,11,7.300000190734863,False,False,False,19.300000190734863
4,0114,2,2005,2005-03-15,0.9490000069141388,0.8775500014424324,138922,415.41,18.700000762939453,0.0,17.0,41,50000,220,12,7.300000190734863,False,False,False,19.300000190734863
4,0114,2,2006,2006-03-27,0.899700003862381,0.9490000069141388,138922,124.92,18.899999618530277,0.0,32.0,31,22260,219,13,7.300000190734863,False,False,False,19.300000190734863
4,0115,1,1995,1995-02-27,0.6557000041007996,0.6572999954223633,138922,170.69,18.899999618530277,0.0,27.0,36,139087,657,2,6.599999904632568,False,True,False,15.099999904632568
4,0115,1,1997,1997-01-23,0.6611999988555908,0.6557000041007996,138922,228.2,18.799999237060547,0.0,44.0,35,163009,770,4,6.599999904632568,False,True,False,15.099999904632568
4,0115,1,1998,1998-08-06,0.6841000020503998,0.6611999988555908,138922,225.04,17.5,0.0,27.0,40,176770,835,5,6.599999904632568,False,True,False,15.099999904632568
