STATE_CODE,SHRP_ID,CONSTRUCTION_NO_AFTER,CONSTRUCTION_NO_BEFORE,MRI_BEFORE,MRI_BEFORE_DATE,MRI_AFTER,MRI_AFTER_DATE,CN_ASSIGN_DATE,MAINTENANCE,DAYS_SINCE_MAINTENANCE,YEAR,H_AC,Eng_Fab,Treated_Base,Treated_Subbase,H_TOT,Added_Thickness,CONSTRUCTION_NO,AADTT,AGE
12,0503,3,2,0.8517999947071075,2013-09-13,0.6290000021457671,2014-10-03,2014-07-24,Mill Existing Pavement and Overlay with Hot-Mix Recycled AC,71,2013,203.3,False,False,False,906.9,5.0,2,13300,42
12,0504,2,1,1.4009000062942505,1994-05-25,0.6408999979496002,1995-11-02,1995-04-04,"AC Shoulder Replacement, Mill Off AC and Overlay with AC ",212,1994,76.2,False,False,False,762.0,116.9,1,9139,23
12,0504,3,2,0.7531999886035919,2013-09-13,0.598199999332428,2014-10-03,2014-07-24,Mill Existing Pavement and Overlay with Hot-Mix Recycled AC,71,2013,193.1,False,False,False,878.9,5.0,2,13300,42
12,0505,2,1,1.4454999923706056,1994-05-25,0.4900999993085861,1995-11-02,1995-04-04,"AC Shoulder Replacement, Mill Off AC and Overlay with AC ",212,1994,83.9,False,False,False,764.6,35.4,1,9139,23
12,0505,3,2,0.736899995803833,2013-09-13,0.617299997806549,2014-10-03,2014-07-24,Mill Existing Pavement and Overlay with Hot-Mix Recycled AC,71,2013,119.3,False,False,False,800.0,5.1,2,13300,42
12,0506,2,1,0.9701999962329864,1994-05-25,0.49719999730587,1995-11-02,1995-04-04,"AC Shoulder Replacement, Mill Off AC and Overlay with AC ",212,1994,111.8,False,False,False,797.6,20.3,1,9139,23
12,0506,3,2,0.605299997329712,2013-09-13,0.6412000060081482,2014-10-03,2014-07-24,Mill Existing Pavement and Overlay with Hot-Mix Recycled AC,71,2013,132.1,False,False,False,817.9000000000001,5.1,2,13300,42
12,0507,2,1,1.1357000112533568,1994-05-25,0.5479999989271165,1995-11-02,1995-04-04,"AC Shoulder Replacement, Mill Off AC and Overlay with AC ",212,1994,78.69999999999999,False,False,False,739.1,114.3,1,9139,23
12,0507,3,2,0.6363999962806701,2013-09-13,0.8571999907493592,2014-10-03,2014-07-24,Mill Existing Pavement and Overlay with Hot-Mix Recycled AC,71,2013,193.0,False,False,False,853.4,5.1,2,13300,42
12,0508,3,2,0.78960000872612,2013-09-13,0.6530000030994415,2014-10-03,2014-07-24,Mill Existing Pavement and Overlay with Hot-Mix Recycled AC,71,2013,205.7,False,False,False,891.5,5.0,2,13300,42
12,0509,2,1,1.0708999991416932,1994-05-25,0.5737999916076659,1995-11-02,1995-04-04,"AC Shoulder Replacement, Mill Existing Pavement and Overlay with Hot-Mix Recycled AC",212,1994,94.0,False,False,False,774.6999999999999,38.1,1,9139,23
12,0509,3,2,0.6584999978542327,2013-09-13,0.6864000022411347,2014-10-03,2014-07-24,Mill Existing Pavement and Overlay with Hot-Mix Recycled AC,71,2013,132.1,False,False,False,812.8000000000001,5.1,2,13300,42
12,0561,2,1,0.9845000028610228,1994-05-25,0.5676000028848648,1995-11-01,1995-04-04,"AC Shoulder Replacement, Mill Existing Pavement and Overlay with Hot-Mix Recycled AC",211,1994,76.19999999999999,False,False,False,756.9,88.9,1,9139,23
12,0561,3,2,0.7125999987125397,2013-09-13,0.6174000084400177,2014-10-03,2014-07-24,Mill Existing Pavement and Overlay with Hot-Mix Recycled AC,71,2013,165.1,False,False,False,845.8,5.0,2,13300,42
12,0562,2,1,1.0828999996185302,1994-05-25,0.4504999995231629,1995-11-02,1995-04-04,"AC Shoulder Replacement, Mill Off AC and Overlay with AC ",212,1994,71.1,False,False,False,751.8,78.8,1,9139,23
12,0562,3,2,0.5382000029087066,2013-09-13,0.6538999974727631,2014-10-03,2014-07-24,Mill Existing Pavement and Overlay with Hot-Mix Recycled AC,71,2013,149.89999999999998,False,False,False,830.6,5.1,2,13300,42
12,0563,2,1,1.3075999975204469,1994-05-26,0.5878000080585479,1995-11-02,1995-04-04,"AC Shoulder Replacement, Mill Off AC and Overlay with AC ",212,1994,81.3,False,False,False,762.0,2.5,1,9139,23
12,0563,3,2,0.7939000070095062,2013-09-13,0.6795000076293946,2014-10-03,2014-07-24,Mill Existing Pavement and Overlay with Hot-Mix Recycled AC,71,2013,83.8,False,False,False,764.5,5.1,2,13300,42
12,0564,2,1,1.277400016784668,1994-05-26,0.4919999957084655,1995-11-02,1995-04-04,"AC Shoulder Replacement, Mill Existing Pavement and Overlay with Hot-Mix Recycled AC",212,1994,83.8,False,False,False,764.5,-7.6,1,9139,23
12,0564,3,2,0.6999000012874603,2013-09-13,0.6737999975681306,2014-10-03,2014-07-24,Mill Existing Pavement and Overlay with Hot-Mix Recycled AC,71,2013,76.2,False,False,False,756.9,5.0,2,13300,42
12,0565,2,1,1.238199996948242,1994-05-25,0.6647000014781952,1995-11-02,1995-04-04,"AC Shoulder Replacement, Mill Existing Pavement and Overlay with Hot-Mix Recycled AC",212,1994,81.2,False,False,False,767.0,88.9,1,9139,23
12,0565,3,2,0.6855000019073486,2013-09-13,0.6928000032901764,2014-10-03,2014-07-24,Mill Existing Pavement and Overlay with Hot-Mix Recycled AC,71,2013,170.1,False,False,False,855.9,5.1,2,13300,42
